OBJECT_NAME,OBJECT_IDENTIFIER,OBJECT_DATA_TYPE,OBJECT_PREMISSIONS,OBJECT_CLASS,OBJECT_NODE_TYPE,OBJECT_DESCRIPTION
catalyst295012,1.3.6.1.4.1.9.1.323,,,objectidentity,,""
catalyst295024,1.3.6.1.4.1.9.1.324,,,objectidentity,,""
catalyst295024C,1.3.6.1.4.1.9.1.325,,,objectidentity,,""
cisco1751,1.3.6.1.4.1.9.1.326,,,objectidentity,,""
cisco1730Iad8Fxs,1.3.6.1.4.1.9.1.327,,,objectidentity,,""
cisco1730Iad16Fxs,1.3.6.1.4.1.9.1.328,,,objectidentity,,""
cisco626,1.3.6.1.4.1.9.1.329,,,objectidentity,,""
cisco627,1.3.6.1.4.1.9.1.330,,,objectidentity,,""
cisco633,1.3.6.1.4.1.9.1.331,,,objectidentity,,""
cisco673,1.3.6.1.4.1.9.1.332,,,objectidentity,,""
cisco675,1.3.6.1.4.1.9.1.333,,,objectidentity,,""
cisco675e,1.3.6.1.4.1.9.1.334,,,objectidentity,,""
cisco676,1.3.6.1.4.1.9.1.335,,,objectidentity,,""
cisco677,1.3.6.1.4.1.9.1.336,,,objectidentity,,""
cisco678,1.3.6.1.4.1.9.1.337,,,objectidentity,,""
cisco3661Ac,1.3.6.1.4.1.9.1.338,,,objectidentity,,""
cisco3661Dc,1.3.6.1.4.1.9.1.339,,,objectidentity,,""
cisco3662Ac,1.3.6.1.4.1.9.1.340,,,objectidentity,,""
cisco3662Dc,1.3.6.1.4.1.9.1.341,,,objectidentity,,""
cisco3662AcCo,1.3.6.1.4.1.9.1.342,,,objectidentity,,""
cisco3662DcCo,1.3.6.1.4.1.9.1.343,,,objectidentity,,""
ciscoUBR7111,1.3.6.1.4.1.9.1.344,,,objectidentity,,""
ciscoUBR7111E,1.3.6.1.4.1.9.1.345,,,objectidentity,,""
ciscoUBR7114,1.3.6.1.4.1.9.1.346,,,objectidentity,,""
ciscoUBR7114E,1.3.6.1.4.1.9.1.347,,,objectidentity,,""
cisco12010,1.3.6.1.4.1.9.1.348,,,objectidentity,,""
cisco8110,1.3.6.1.4.1.9.1.349,,,objectidentity,,""
cisco8120,1.3.6.1.4.1.9.1.350,,,objectidentity,,""
ciscoUBR905,1.3.6.1.4.1.9.1.351,,,objectidentity,,""
ciscoIDS,1.3.6.1.4.1.9.1.352,,,objectidentity,,""
ciscoSOHO77,1.3.6.1.4.1.9.1.353,,,objectidentity,,""
ciscoSOHO76,1.3.6.1.4.1.9.1.354,,,objectidentity,,""
cisco7150Dualfe,1.3.6.1.4.1.9.1.355,,,objectidentity,,""
cisco7150Octt1,1.3.6.1.4.1.9.1.356,,,objectidentity,,""
cisco7150Dualt3,1.3.6.1.4.1.9.1.357,,,objectidentity,,""
ciscoOlympus,1.3.6.1.4.1.9.1.358,,,objectidentity,,""
catalyst2950t24,1.3.6.1.4.1.9.1.359,,,objectidentity,,""
ciscoVPS1110,1.3.6.1.4.1.9.1.360,,,objectidentity,,""
ciscoContentEngine,1.3.6.1.4.1.9.1.361,,,objectidentity,,""
ciscoIAD2420,1.3.6.1.4.1.9.1.362,,,objectidentity,,""
cisco677i,1.3.6.1.4.1.9.1.363,,,objectidentity,,""
cisco674,1.3.6.1.4.1.9.1.364,,,objectidentity,,""
ciscoDPA7630,1.3.6.1.4.1.9.1.365,,,objectidentity,,""
catalyst355024,1.3.6.1.4.1.9.1.366,,,objectidentity,,""
catalyst355048,1.3.6.1.4.1.9.1.367,,,objectidentity,,""
catalyst355012T,1.3.6.1.4.1.9.1.368,,,objectidentity,,""
catalyst2924LREXL,1.3.6.1.4.1.9.1.369,,,objectidentity,,""
catalyst2912LREXL,1.3.6.1.4.1.9.1.370,,,objectidentity,,""
ciscoCVA122E,1.3.6.1.4.1.9.1.371,,,objectidentity,,""
ciscoCVA124E,1.3.6.1.4.1.9.1.372,,,objectidentity,,""
ciscoURM,1.3.6.1.4.1.9.1.373,,,objectidentity,,""
ciscoURM2FE,1.3.6.1.4.1.9.1.374,,,objectidentity,,""
ciscoURM2FE2V,1.3.6.1.4.1.9.1.375,,,objectidentity,,""
