2022-12-19 04:09:35 UTC | CORE | DEBUG | (pkg/config/config.go:1827 in IsCloudProviderEnabled) | cloud_provider_metadata is set to [aws gcp azure alibaba oracle ibm] in agent configuration, trying endpoints for AWS Cloud Provider
2022-12-19 04:09:35 UTC | CORE | DEBUG | (pkg/autodiscovery/providers/config_reader.go:296 in collectEntry) | Found valid configuration in file: /etc/datadog-agent/conf.d/disk.d/conf.yaml.default
2022-12-19 04:09:35 UTC | CORE | DEBUG | (pkg/config/config.go:1827 in IsCloudProviderEnabled) | cloud_provider_metadata is set to [aws gcp azure alibaba oracle ibm] in agent configuration, trying endpoints for AWS Cloud Provider
2022-12-19 04:09:35 UTC | CORE | DEBUG | (pkg/config/config.go:1827 in IsCloudProviderEnabled) | cloud_provider_metadata is set to [aws gcp azure alibaba oracle ibm] in agent configuration, trying endpoints for AWS Cloud Provider
2022-12-19 04:09:35 UTC | CORE | DEBUG | (pkg/autodiscovery/providers/config_reader.go:296 in collectEntry) | Found valid configuration in file: /etc/datadog-agent/conf.d/docker.d/conf.yaml.default
2022-12-19 04:09:35 UTC | CORE | DEBUG | (pkg/config/config.go:1827 in IsCloudProviderEnabled) | cloud_provider_metadata is set to [aws gcp azure alibaba oracle ibm] in agent configuration, trying endpoints for AWS Cloud Provider
2022-12-19 04:09:35 UTC | CORE | DEBUG | (pkg/config/config.go:1827 in IsCloudProviderEnabled) | cloud_provider_metadata is set to [aws gcp azure alibaba oracle ibm] in agent configuration, trying endpoints for AWS Cloud Provider
2022-12-19 04:09:35 UTC | CORE | DEBUG | (pkg/autodiscovery/providers/config_reader.go:296 in collectEntry) | Found valid configuration in file: /etc/datadog-agent/conf.d/ecs_fargate.d/conf.yaml.default
2022-12-19 04:09:35 UTC | CORE | DEBUG | (pkg/config/config.go:1827 in IsCloudProviderEnabled) | cloud_provider_metadata is set to [aws gcp azure alibaba oracle ibm] in agent configuration, trying endpoints for AWS Cloud Provider
2022-12-19 04:09:35 UTC | CORE | DEBUG | (pkg/config/config.go:1827 in IsCloudProviderEnabled) | cloud_provider_metadata is set to [aws gcp azure alibaba oracle ibm] in agent configuration, trying endpoints for AWS Cloud Provider
